position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1961,London Racer,PS,Davilex  ,Davilex  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Sep 00  ,N/A
1962,London Racer II,PS,Davilex  ,Kiss  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Jun 02  ,N/A
1963,Lone Soldier,PS,Telstar  ,Tempest Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
1964,Lord Monarch: Shin Gaia Oukokuki,PS,Toshiba EMI   ,Nihon Falcom Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Dec 98  ,N/A
1965,Love Game's: Wai Wai Tennis,PS,Ichikawa  ,Ichikawa  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 97  ,N/A
1966,Love Game's: Wai Wai Tennis Plus,PS,Hamster Corporation  ,Hamster Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Mar 02  ,N/A
1967,LSD,PS,Asmik Ace Entertainment  ,OutSide Directors Company  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Oct 98  ,N/A
1968,Lucifer Ring,PS,Toshiba EMI   ,Toshiba EMI  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Dec 98  ,N/A
1969,Lucky Luke: Western Fever,PS,Infogrames  ,Kalisto  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd Nov 01  ,N/A
1970,Luftwaffe: Doitsu Kuugun o Shiki Seyo,PS,Victor Interactive  ,Pegasus Japan  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Feb 99  ,N/A
1971,Lunar Wing,PS,Takara  ,Takara  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Jul 01  ,N/A
1972,Lunatic Dawn III,PS,ArtDink  ,ArtDink  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Dec 98  ,N/A
1973,Lunatic Dawn Odyssey,PS,ArtDink  ,ArtDink  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd Dec 99  ,N/A
1974,Lupin Sansei,PS,Daiki  ,Daiki  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Nov 98  ,N/A
1975,Lupin Sansei: Chateau de Cagliostro Saikai,PS,Asmik Ace Entertainment  ,"Asmik Ace Entertainment, Inc  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Jan 97  ,N/A
1976,Macross Plus Game Edition,PS,Takara  ,Takara  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Jun 00  ,N/A
1977,Macross VF-X 2,PS,Bandai  ,Bandai  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd Sep 99  ,N/A
1978,Mad Stalker: Full Metal Force,PS,Family Soft  ,Family Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,03rd Jul 97  ,N/A
1979,Madden NFL 2003,PS,EA Sports  ,BudCat Creations  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Aug 02  ,N/A
1980,Madden NFL 2004,PS,EA Sports  ,BudCat Creations  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Aug 03  ,N/A
1981,Madden NFL 2005,PS,EA Sports  ,EA Tiburon  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Sep 04  ,N/A
1982,Magical Date: Doki Doki Kouhaku Daisakusen,PS,Taito  ,Taito  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Nov 97  ,N/A
1983,Magical Drop,PS,Data East  ,Data East  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Jan 96  ,N/A
1984,Magical Drop + Wonderful!,PS,Data East  ,Data East  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Feb 99  ,N/A
1985,Magical Drop F: Daibouken Mo Rakujyanai!,PS,Data East  ,Data East  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Oct 99  ,N/A
1986,Magical Drop III,PS,Swing! Entertainment  ,Data East  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Jul 00  ,N/A
1987,Magical Medical,PS,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Sep 98  ,N/A
1988,Magical Tetris Challenge,PS,Sony Computer Entertainment  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 99  ,N/A
1989,Mahjong Goku Tenjiku,PS,Electronic Arts Victor  ,Chat Noir  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,03rd Dec 94  ,N/A
1990,Mahjong Goku Tenjiku 99,PS,Chat Noir  ,Chat Noir  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,03rd Jun 99  ,N/A
1991,Mahjong Uranai Fortuna: Tsuki no Megami-tachi,PS,Affect  ,Affect  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Feb 01  ,N/A
1992,Mahjong Youchien: Tamago Gumi,PS,Affect  ,Affect  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Mar 98  ,N/A
1993,Mahjong Youchien: Tamago Gumi 2,PS,Affect  ,Affect  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Sep 00  ,N/A
1994,Mahou Shoujo Fancy Coco,PS,Pow  ,Planning Office Wada  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Sep 96  ,N/A
1995,Marby Baby Story,PS,Ponos  ,Ponos  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Feb 99  ,N/A
1996,Marie no Atelier Plus: Salburg no Renkinjutsushi,PS,Gust  ,Gust  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Jun 98  ,N/A
1997,Marionette Company,PS,Micro Cabin  ,Micro Cabin  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th May 99  ,N/A
1998,Marionette Company 2 Chu!,PS,Micro Cabin  ,Micro Cabin  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th May 00  ,N/A
1999,Mary King's Riding Star,PS,Midas Interactive Entertainment  ,Midas Interactive Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 00  ,N/A
2000,Masters Shin Harukanaru Augusta,PS,Soft Bank  ,Tikipod  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Jul 96  ,N/A
2001,Masumon Kids: The Another World of The Master of Monsters,PS,Toshiba EMI   ,Toshiba EMI  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Jun 98  ,N/A
2002,Matsumoto Reiji 999: Story of Galaxy Express 999,PS,Banpresto  ,Polygon Magic  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Jun 01  ,N/A
2003,Max Surfing 2nd,PS,KSS  ,ACOT  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Sep 00  ,N/A
2004,Maya's Fortune Telling: Kiseki no Maya Uranai,PS,Oracion  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Aug 99  ,N/A
2005,Medarot R,PS,Imagineer  ,Natsume  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Nov 99  ,N/A
2006,Medarot R: Parts Collection,PS,Imagineer  ,Natsume  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,16th Mar 00  ,N/A
