position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Stray,PS5,Annapurna Interactive  ,Blue Twelve Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,11th Jun 20
2,Assassin's Creed Valhalla,PS5,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Nov 20  ,30th Apr 20
3,Astro's Playroom,PS5,Sony Interactive Entertainment  ,ASOBI Team  ,7.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Nov 20  ,13th Jun 20
4,Atelier Ryza 2: Lost Legends & the Secret Fairy,PS5,Unknown  ,Gust  ,5.5  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,09th Dec 20
5,Balan Wonderworld,PS5,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,23rd Jul 20
6,Battlefield VI,PS5,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,18th Jun 20
7,Bugsnax,PS5,Young Horses  ,Young Horses  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,13th Jun 20
8,Call of Duty: Black Ops Cold War,PS5,Activision  ,Treyarch  ,7.5  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Nov 20  ,20th Aug 20
9,Chivalry 2,PS5,Tripwire Interactive  ,Torn Banner Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,13th Jun 20
10,Chorus: Rise as One,PS5,Unknown  ,Fishlabs Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,07th May 20
11,Control,PS5,505 Games  ,Remedy  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,13th Jun 20
12,Cris Tales,PS5,Modus Games  ,Dreams Uncorporated  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,18th Jun 20
13,Cyberpunk 2077,PS5,CD Projekt Red Studio  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,18th Jun 20
14,Dead by Daylight,PS5,Behaviour Interactive  ,Behaviour Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,22nd Sep 20
15,Deathloop,PS5,Bethesda Softworks  ,Arkane Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jul 21  ,13th Jun 20
16,Demon’s Souls,PS5,Sony Interactive Entertainment  ,Bluepoint Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Nov 20  ,18th Sep 20
17,Destiny 2,PS5,Bungie Software  ,Bungie  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,13th Jun 20
18,Destiny 2: Beyond Light,PS5,Bungie Software  ,Bungie  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,08th Sep 20
19,Destruction Allstars,PS5,Sony Interactive Entertainment  ,Lucid Games  ,6.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Nov 20  ,18th Sep 20
20,Devil May Cry 5 Special Edition,PS5,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Nov 20  ,16th Sep 20
21,Diablo II: Resurrected,PS5,Blizzard Entertainment  ,Vicarious Visions  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,20th Feb 21
22,DiRT 5,PS5,Codemasters  ,Codemasters  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Dec 20  ,07th May 20
23,Dustborn,PS5,Red Thread Games  ,Red Thread Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,18th Jun 20
24,Dying Light 2,PS5,Techland  ,Techland  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,18th Jun 20
25,Far Cry 6,PS5,Ubisoft  ,Ubisoft Toronto  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Feb 21  ,21st Aug 20
