position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
75,Final Fantasy Type-0,PSP,Unknown  ,Square Enix  ,N/A  ,N/A  ,N/A  ,N/A,0.81m,N/A,N/A,0.81m,N/A,31st Dec 20  ,N/A
76,The Sims 2: Pets,PSP,Electronic Arts  ,Maxis  ,N/A  ,5.8  ,N/A  ,N/A,0.80m,0.19m,0.39m,N/A,0.22m,14th Dec 06  ,N/A
77,Pro Evolution Soccer 2010,PSP,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,0.80m,0.09m,0.33m,0.20m,0.18m,10th Nov 09  ,N/A
78,PES 2009: Pro Evolution Soccer,PSP,Konami  ,Konami  ,N/A  ,7.3  ,N/A  ,N/A,0.80m,0.04m,0.33m,0.26m,0.17m,11th Nov 08  ,N/A
79,Invizimals,PSP,Sony Computer Entertainment  ,Novarama  ,N/A  ,6.6  ,N/A  ,N/A,0.79m,0.17m,0.51m,N/A,0.11m,12th Oct 10  ,N/A
80,Pro Evolution Soccer 2011,PSP,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,0.79m,0.05m,0.30m,0.29m,0.16m,02nd Nov 10  ,N/A
81,The Sims 2: Castaway,PSP,Electronic Arts  ,Maxis  ,N/A  ,N/A  ,N/A  ,N/A,0.79m,0.08m,0.46m,N/A,0.25m,22nd Oct 07  ,N/A
82,Need for Speed: ProStreet,PSP,Electronic Arts  ,EA Black Box  ,N/A  ,5.6  ,N/A  ,N/A,0.78m,0.24m,0.33m,0.01m,0.19m,18th Feb 08  ,N/A
83,Star Wars Battlefront: Elite Squadron,PSP,LucasArts  ,Savage Entertainment  ,N/A  ,6.0  ,N/A  ,N/A,0.77m,0.38m,0.24m,N/A,0.16m,03rd Nov 09  ,N/A
84,Twisted Metal: Head On,PSP,Sony Computer Entertainment  ,Incognito Inc.  ,N/A  ,7.5  ,N/A  ,N/A,0.77m,0.71m,0.00m,N/A,0.06m,24th Mar 05  ,N/A
85,Need for Speed: Undercover,PSP,Electronic Arts  ,Piranha Games  ,N/A  ,5.4  ,N/A  ,N/A,0.77m,0.23m,0.32m,0.03m,0.19m,17th Nov 08  ,N/A
86,WWE SmackDown vs. Raw 2009,PSP,THQ  ,Yuke's Media Creations  ,N/A  ,7.9  ,N/A  ,N/A,0.75m,0.41m,0.20m,N/A,0.14m,09th Nov 08  ,N/A
87,Coded Arms,PSP,Konami  ,Konami  ,N/A  ,6.1  ,N/A  ,N/A,0.75m,0.28m,0.29m,N/A,0.17m,06th Jul 05  ,N/A
88,Need for Speed: Shift,PSP,Electronic Arts  ,Slightly Mad Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.75m,0.16m,0.38m,0.01m,0.21m,15th Sep 09  ,N/A
89,Madden NFL 06,PSP,EA Sports  ,EA Tiburon  ,N/A  ,7.9  ,N/A  ,N/A,0.75m,0.69m,0.00m,N/A,0.06m,20th Sep 05  ,N/A
90,Tom Clancy's Rainbow Six: Vegas,PSP,Ubisoft  ,Ubisoft Montreal  ,N/A  ,5.8  ,N/A  ,N/A,0.75m,0.42m,0.20m,N/A,0.13m,12th Jun 07  ,N/A
91,Mortal Kombat: Unchained,PSP,Midway Games  ,JGI Entertainment  ,N/A  ,7.0  ,N/A  ,N/A,0.74m,0.67m,0.01m,N/A,0.06m,15th Nov 06  ,N/A
92,Ben 10: Protector of Earth,PSP,D3 Publisher  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,0.72m,0.23m,0.31m,N/A,0.18m,30th Oct 07  ,N/A
93,Madden NFL 08,PSP,EA Sports  ,EA Tiburon  ,N/A  ,7.3  ,N/A  ,N/A,0.71m,0.60m,0.04m,N/A,0.07m,14th Aug 07  ,N/A
94,Madden NFL 09,PSP,EA Sports  ,EA Tiburon  ,N/A  ,6.9  ,N/A  ,N/A,0.71m,0.65m,0.00m,N/A,0.06m,12th Aug 08  ,N/A
95,LEGO Harry Potter: Years 1-4,PSP,Warner Bros. Interactive  ,Traveller's Tales  ,N/A  ,7.5  ,N/A  ,N/A,0.71m,0.14m,0.38m,N/A,0.19m,29th Jun 10  ,01st Dec 18
96,Spider-Man 2,PSP,Activision  ,Vicarious Visions  ,N/A  ,6.4  ,N/A  ,N/A,0.70m,0.35m,0.21m,N/A,0.14m,15th Mar 05  ,N/A
97,WWE SmackDown vs. Raw 2011,PSP,THQ  ,JAKKS Pacific  ,N/A  ,N/A  ,N/A  ,N/A,0.70m,0.22m,0.31m,N/A,0.17m,26th Oct 10  ,N/A
98,Ape Escape: On the Loose,PSP,Sony Computer Entertainment  ,SIMS  ,N/A  ,6.6  ,N/A  ,N/A,0.70m,0.52m,0.01m,0.12m,0.05m,22nd Mar 05  ,N/A
99,Metal Gear Solid: Portable Ops Plus,PSP,Konami  ,Kojima Productions  ,N/A  ,6.9  ,N/A  ,N/A,0.69m,0.26m,0.01m,0.26m,0.17m,13th Nov 07  ,N/A
100,MX vs. ATV Unleashed: On the Edge,PSP,THQ  ,Rainbow Studios  ,N/A  ,7.3  ,N/A  ,N/A,0.69m,0.64m,0.00m,N/A,0.05m,27th Feb 06  ,N/A
101,Hot Shots Golf: Open Tee 2,PSP,Sony Computer Entertainment  ,Clap Hanz  ,N/A  ,8.0  ,N/A  ,N/A,0.68m,0.21m,0.11m,0.28m,0.08m,03rd Jun 08  ,N/A
102,Madden NFL 10,PSP,EA Sports  ,EA Tiburon  ,N/A  ,8.0  ,N/A  ,N/A,0.67m,0.50m,0.08m,N/A,0.09m,14th Aug 09  ,N/A
103,WWE SmackDown vs. RAW 2007,PSP,THQ  ,Yuke's  ,N/A  ,7.8  ,N/A  ,N/A,0.66m,0.33m,0.20m,N/A,0.14m,06th Dec 06  ,N/A
104,Ratatouille,PSP,THQ  ,Locomotive Games  ,N/A  ,6.6  ,N/A  ,N/A,0.66m,0.22m,0.28m,N/A,0.16m,26th Jun 07  ,N/A
105,Toy Story 3: The Video Game,PSP,Disney Interactive Studios  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,0.66m,0.27m,0.24m,N/A,0.14m,15th Jun 10  ,N/A
106,MX vs. ATV Untamed,PSP,THQ  ,Rainbow Studios  ,N/A  ,5.6  ,N/A  ,N/A,0.65m,0.35m,0.18m,N/A,0.13m,17th Dec 07  ,N/A
107,Transformers: The Game,PSP,Activision  ,Savage Entertainment  ,N/A  ,4.3  ,N/A  ,N/A,0.65m,0.23m,0.27m,N/A,0.16m,19th Jun 07  ,N/A
108,Wall-E,PSP,THQ  ,Heavy Iron Studios  ,N/A  ,7.7  ,N/A  ,N/A,0.65m,0.29m,0.22m,N/A,0.14m,24th Jun 08  ,N/A
109,Star Ocean: First Departure,PSP,Square Enix  ,TOSE Software  ,N/A  ,7.5  ,N/A  ,N/A,0.65m,0.20m,0.14m,0.22m,0.09m,21st Oct 08  ,N/A
110,Phantasy Star Portable,PSP,Sega  ,Alfa System  ,N/A  ,7.1  ,9.1  ,0.64m,N/A,N/A,N/A,N/A,N/A,03rd Mar 09  ,N/A
111,Crash of the Titans,PSP,Sierra Entertainment  ,SuperVillain Studios  ,N/A  ,6.3  ,N/A  ,N/A,0.64m,0.25m,0.25m,N/A,0.15m,16th Oct 07  ,N/A
112,Iron Man,PSP,Sega  ,Artificial Mind and Movement  ,N/A  ,5.0  ,N/A  ,N/A,0.63m,0.46m,0.09m,N/A,0.09m,02nd May 08  ,N/A
113,Jak and Daxter: The Lost Frontier,PSP,Sony Computer Entertainment  ,High Impact Games  ,N/A  ,7.5  ,N/A  ,N/A,0.62m,0.18m,0.28m,0.00m,0.16m,03rd Nov 09  ,N/A
114,WWE SmackDown vs. Raw 2010,PSP,THQ  ,Yuke's  ,N/A  ,N/A  ,N/A  ,N/A,0.61m,0.25m,0.23m,N/A,0.14m,20th Oct 09  ,N/A
