position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Grand Theft Auto V,PS3,Rockstar Games  ,Rockstar North  ,N/A  ,9.4  ,N/A  ,N/A,20.32m,6.37m,9.85m,0.99m,3.12m,17th Sep 13  ,N/A
2,Call of Duty: Black Ops II,PS3,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,N/A,13.80m,4.99m,5.88m,0.65m,2.28m,13th Nov 12  ,07th Apr 18
3,Call of Duty: Modern Warfare 3,PS3,Activision  ,Infinity Ward  ,N/A  ,8.8  ,N/A  ,N/A,13.35m,5.54m,5.78m,0.49m,1.54m,08th Nov 11  ,N/A
4,Call of Duty: Black Ops,PS3,Activision  ,Treyarch  ,N/A  ,8.7  ,N/A  ,N/A,12.67m,6.01m,4.40m,0.48m,1.78m,09th Nov 10  ,N/A
5,Gran Turismo 5,PS3,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,8.3  ,N/A  ,11.95m,N/A,N/A,N/A,N/A,N/A,24th Nov 10  ,N/A
6,Call of Duty: Modern Warfare 2,PS3,Activision  ,Infinity Ward  ,9.0  ,9.5  ,N/A  ,N/A,10.61m,4.99m,3.66m,0.38m,1.59m,10th Nov 09  ,N/A
7,Grand Theft Auto IV,PS3,Rockstar Games  ,Rockstar North  ,9.0  ,10.0  ,9.0  ,N/A,10.57m,4.79m,3.73m,0.44m,1.62m,29th Apr 08  ,N/A
8,Call of Duty: Ghosts,PS3,Activision  ,Infinity Ward  ,N/A  ,7.5  ,N/A  ,N/A,10.13m,4.11m,4.01m,0.39m,1.62m,05th Nov 13  ,21st Mar 18
9,Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,9.3  ,6.3  ,9.30m,N/A,N/A,N/A,N/A,N/A,01st Nov 11  ,N/A
10,The Last of Us,PS3,Sony Computer Entertainment America  ,Naughty Dog  ,N/A  ,9.5  ,N/A  ,8.15m,N/A,N/A,N/A,N/A,N/A,14th Jun 13  ,24th Sep 18
11,FIFA 13,PS3,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,8.01m,1.07m,5.13m,0.13m,1.68m,25th Sep 12  ,06th Apr 18
12,God of War III,PS3,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.4  ,9.2  ,9.4  ,7.60m,N/A,N/A,N/A,N/A,N/A,16th Mar 10  ,N/A
13,Battlefield 3,PS3,Electronic Arts  ,Dice  ,N/A  ,8.5  ,N/A  ,N/A,7.21m,2.86m,2.94m,0.35m,1.07m,25th Oct 11  ,N/A
14,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment  ,Naughty Dog  ,9.2  ,9.5  ,9.6  ,N/A,6.74m,3.28m,2.22m,0.21m,1.02m,13th Oct 09  ,N/A
15,Call of Duty 4: Modern Warfare,PS3,Activision  ,Infinity Ward  ,N/A  ,9.5  ,9.6  ,N/A,6.72m,3.13m,2.27m,0.28m,1.04m,05th Nov 07  ,N/A
16,FIFA Soccer 12,PS3,EA Sports  ,EA Canada  ,N/A  ,9.2  ,N/A  ,N/A,6.65m,0.84m,4.33m,0.11m,1.37m,27th Sep 11  ,N/A
17,FIFA 14,PS3,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,6.61m,0.79m,4.77m,0.07m,0.98m,24th Sep 13  ,15th Sep 18
18,Red Dead Redemption,PS3,Rockstar Games  ,Rockstar San Diego  ,9.1  ,9.5  ,N/A  ,N/A,6.57m,2.82m,2.58m,0.17m,1.00m,11th Oct 11  ,N/A
19,Assassin's Creed III,PS3,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.8  ,N/A  ,N/A,6.50m,2.65m,2.61m,0.16m,1.08m,30th Oct 12  ,12th Apr 18
20,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,9.0  ,N/A  ,N/A,6.49m,2.57m,2.68m,0.25m,0.99m,11th Nov 11  ,01st Apr 18
21,Minecraft,PS3,Sony Computer Entertainment America  ,Mojang  ,N/A  ,N/A  ,N/A  ,N/A,6.05m,2.21m,2.86m,N/A,0.99m,16th May 14  ,05th Aug 18
22,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami  ,Kojima Productions  ,9.5  ,9.3  ,9.8  ,6.00m,N/A,N/A,N/A,N/A,N/A,12th Jun 08  ,N/A
23,Assassin's Creed II,PS3,Ubisoft  ,Ubisoft Montreal  ,9.0  ,9.0  ,N/A  ,N/A,5.57m,2.54m,1.95m,0.21m,0.86m,17th Nov 09  ,03rd Jan 18
24,Batman: Arkham City,PS3,Warner Bros. Interactive  ,Rocksteady Studios  ,N/A  ,9.6  ,N/A  ,N/A,5.54m,2.72m,1.89m,0.11m,0.82m,18th Oct 11  ,N/A
25,Call of Duty: World at War,PS3,Activision  ,Treyarch  ,8.8  ,8.4  ,N/A  ,N/A,5.43m,2.75m,1.84m,N/A,0.84m,10th Nov 08  ,N/A
26,Final Fantasy XIII,PS3,Square Enix  ,Square Enix  ,9.0  ,8.0  ,9.2  ,N/A,5.35m,1.75m,1.23m,1.87m,0.51m,09th Mar 10  ,N/A
27,Gran Turismo 5 Prologue,PS3,Sony Computer Entertainment  ,Polyphony Digital  ,8.4  ,8.3  ,N/A  ,5.35m,N/A,N/A,N/A,N/A,N/A,15th Apr 08  ,N/A
28,Gran Turismo 6,PS3,Sony Computer Entertainment America  ,Polyphony Digital  ,N/A  ,N/A  ,N/A  ,5.22m,N/A,N/A,N/A,N/A,N/A,06th Dec 13  ,18th Apr 18
29,Resident Evil 5,PS3,Capcom  ,Capcom  ,8.4  ,8.6  ,8.8  ,N/A,5.10m,1.96m,1.42m,1.08m,0.64m,13th Mar 09  ,N/A
30,FIFA Soccer 11,PS3,EA Sports  ,EA Canada  ,N/A  ,8.7  ,N/A  ,N/A,5.08m,0.61m,3.28m,0.06m,1.12m,28th Sep 10  ,N/A
31,Uncharted: Drake's Fortune,PS3,Sony Computer Entertainment  ,Naughty Dog  ,8.7  ,8.7  ,8.6  ,N/A,4.97m,2.32m,1.73m,0.12m,0.80m,16th Nov 07  ,N/A
32,Assassin's Creed,PS3,Ubisoft  ,Ubisoft Montreal  ,7.5  ,8.2  ,8.5  ,N/A,4.83m,1.91m,2.01m,0.09m,0.82m,13th Nov 07  ,N/A
33,FIFA 15,PS3,EA Sports  ,EA Canada  ,N/A  ,6.9  ,N/A  ,N/A,4.56m,0.59m,3.25m,0.04m,0.68m,23rd Sep 14  ,23rd Mar 18
34,LittleBigPlanet,PS3,Sony Computer Entertainment  ,Media Molecule  ,9.2  ,9.4  ,9.2  ,4.50m,N/A,N/A,N/A,N/A,N/A,28th Oct 08  ,N/A
35,Batman: Arkham Asylum,PS3,Eidos Interactive  ,Rocksteady Studios  ,9.1  ,9.0  ,N/A  ,N/A,4.28m,2.26m,1.33m,0.07m,0.63m,25th Aug 09  ,N/A
36,Call of Duty: Advanced Warfare,PS3,Activision  ,High Moon Studios  ,N/A  ,9.1  ,N/A  ,N/A,4.27m,1.59m,1.81m,0.20m,0.67m,04th Nov 14  ,04th Jan 18
37,Assassin's Creed: Revelations,PS3,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.8  ,N/A  ,N/A,4.23m,1.41m,2.03m,0.10m,0.69m,15th Nov 11  ,N/A
