position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
622,Virtua Cop 2,DC,Sega  ,Sega-AM2  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd Mar 00  ,N/A
623,Virtua Tennis,DC,Sega  ,Hitmaker  ,N/A  ,9.2  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 00  ,N/A
624,Wacky Races,DC,Infogrames  ,Infogrames  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jun 00  ,N/A
625,Walt Disney World Quest: Magical Racing Tour,DC,Eidos Interactive  ,Crystal Dynamics  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Jul 00  ,N/A
626,Weakness Hero Torauman,DC,Fortyfive  ,Fortyfive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 02  ,N/A
627,Web Mystery: Yochi Yume o Kenru Neko,DC,Mebius  ,Mebius  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Apr 99  ,N/A
628,Wetrix+,DC,Xicat Interactive  ,Zed Two Limited  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 00  ,N/A
629,What's Shenmue,DC,Sega  ,Sega-AM2  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Aug 99  ,N/A
630,Who Wants to be a Millionaire,DC,Eidos Interactive  ,Hothouse Creations  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Sep 00  ,N/A
631,Who Wants to Beat Up a Millionaire,DC,Berkeley  ,Berkeley  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 00  ,N/A
632,Wild Metal,DC,Rockstar Games  ,DMA Design  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Feb 00  ,N/A
633,Wind and Water: Puzzle Battles,DC,RedSpot Games  ,Yuan Works  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Nov 08  ,N/A
634,Wind: a Breath of Heart,DC,Alchemist  ,Alchemist  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Jan 03  ,N/A
635,Winning Post 4 Program 2000,DC,KOEI  ,Koei  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Mar 00  ,N/A
636,Woody Woodpecker Racing,DC,Unknown  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
637,World Neverland 2 Plus,DC,Riverhillsoft  ,Riverhillsoft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Mar 00  ,N/A
638,World Neverland Plus: Orurudo Oukoku Monogatari,DC,Riverhillsoft  ,Riverhillsoft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Jul 99  ,N/A
639,World Series Baseball 2K1,DC,Sega  ,Wow Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Jul 00  ,N/A
640,World Series Baseball 2K2,DC,Sega  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Aug 01  ,N/A
641,Worms Armageddon,DC,Hasbro Interactive  ,Team17 Software  ,N/A  ,8.4  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Dec 99  ,N/A
642,Worms World Party,DC,Titus  ,Team17 Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,03rd Jun 01  ,N/A
643,WWF Attitude,DC,Acclaim Entertainment  ,Acclaim Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 99  ,N/A
644,WWF Royal Rumble,DC,THQ  ,Yuke's Future Media Creators  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Aug 00  ,N/A
