position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
256,Christmas NiGHTS into dreams...,SAT,Sega  ,Sonic Team  ,N/A  ,8.0  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
257,Cleopatra Fortune,SAT,Taito  ,Taito Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Feb 97  ,N/A
258,Clockwork Knight 2,SAT,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,N/A
259,ClockWorks,SAT,Tokuma Shoten  ,Tokuma Shoten  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Aug 96  ,N/A
260,College Slam,SAT,Acclaim Entertainment  ,Iguana Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
261,Command & Conquer: Covert Operations,SAT,Westwood Studios  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 96  ,N/A
262,Command & Conquer,SAT,Westwood Studios  ,Westwood Studios  ,N/A  ,9.1  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 96  ,N/A
263,Congo The Movie: The Lost City of Zinj,SAT,Sega  ,Jumpin' Jack Software Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
264,Contra: Legacy of War,SAT,Konami  ,Appaloosa Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,N/A
265,Corpse Killer: Graveyard Edition,SAT,Digital Pictures  ,Digital Pictures  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,N/A
266,Cotton 2,SAT,Success  ,Success  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Dec 97  ,N/A
267,Cotton Boomerang,SAT,Success  ,Success  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Oct 98  ,N/A
268,Courier Crisis,SAT,GT Interactive  ,New Level Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,N/A
269,Creature Shock: Special Edition,SAT,Data East  ,Interactive Studios Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
270,CrimeWave,SAT,Eidos Interactive  ,Eidos Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th May 97  ,N/A
271,Criticom,SAT,Victory Lap Games  ,Kronos Digital Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,N/A
272,Croc: Legend of the Gobbos,SAT,Fox Interactive  ,Argonaut Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,N/A
273,Crusader: No Remorse,SAT,Electronic Arts  ,Realtime Associates  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 96  ,N/A
274,Crypt Killer,SAT,Konami  ,Konami Computer Entertainment Tokyo  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,N/A
275,Culdcept,SAT,NEC Interchannel   ,OmiyaSoft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Oct 97  ,N/A
276,Cyber Doll,SAT,I'Max  ,I'Max  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Aug 96  ,N/A
277,Cyber Speedway,SAT,Sega  ,NexTech Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,N/A
278,Cyberbots: Fullmetal Madness,SAT,Capcom  ,Capcom  ,N/A  ,5.9  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Mar 97  ,N/A
279,Cyberia,SAT,Interplay  ,"Xatrix Entertainment, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,N/A
280,D,SAT,Acclaim Entertainment  ,Warp  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
281,D-Xhird,SAT,Takara  ,Takara  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th May 97  ,N/A
282,Daitoride,SAT,Metro 3D  ,Metro3D  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Jun 96  ,N/A
283,Dark Legend,SAT,Data East  ,Data East  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Oct 95  ,N/A
284,Dark Savior,SAT,Sega  ,Climax Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Nov 96  ,N/A
285,Dark Seed,SAT,Gaga  ,Cyberdreams Interactive Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Jul 95  ,N/A
286,Dark Seed II,SAT,Gaga  ,Cyberdreams Interactive Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Aug 97  ,N/A
287,Darklight Conflict,SAT,Electronic Arts  ,Rage Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,N/A
288,Death Crimson,SAT,Ecole  ,Ecole Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Aug 96  ,N/A
289,DefCon 5,SAT,Data East  ,Millennium Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Jun 96  ,N/A
290,Densha de Go! EX,SAT,Takara  ,Taito Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Oct 98  ,N/A
291,Derby Analyst,SAT,Media Entertainment  ,Bull's Eye  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th May 97  ,N/A
292,Destruction Derby,SAT,Psygnosis  ,Reflections Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
293,Devil Summoner: Soul Hackers - Akuma Zensho Dainishuu,SAT,Atlus  ,Atlus Co.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Dec 97  ,N/A
294,Dezaemon 2,SAT,Athena  ,Athena  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Oct 97  ,N/A
