position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
526,Star Wars The Clone Wars: Republic Heroes,X360,LucasArts  ,Krome Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.39m,0.18m,0.17m,N/A,0.04m,06th Oct 09  ,N/A
527,Red Faction: Armageddon,X360,THQ  ,Volition Inc.  ,N/A  ,7.1  ,N/A  ,N/A,0.39m,0.18m,0.16m,0.01m,0.04m,07th Jun 11  ,N/A
528,Hitman: Blood Money,X360,Eidos Interactive  ,IO Interactive  ,N/A  ,8.1  ,N/A  ,N/A,0.39m,0.29m,0.06m,0.01m,0.03m,30th May 06  ,N/A
529,EA Sports Active 2,X360,Electronic Arts  ,EA Vancouver  ,N/A  ,6.3  ,N/A  ,N/A,0.39m,0.18m,0.16m,N/A,0.04m,16th Nov 10  ,N/A
530,Farming Simulator 2013,X360,Focus Home Interactive  ,Giants Software  ,N/A  ,N/A  ,N/A  ,N/A,0.39m,0.22m,0.13m,0.00m,0.03m,19th Nov 13  ,06th Jan 18
531,Metal Gear Solid HD Collection,X360,Konami  ,Bluepoint Games  ,N/A  ,9.2  ,N/A  ,N/A,0.38m,0.25m,0.10m,N/A,0.03m,08th Nov 11  ,N/A
532,Wolfenstein: The New Order,X360,Bethesda Softworks  ,MachineGames  ,N/A  ,N/A  ,N/A  ,N/A,0.38m,0.18m,0.17m,N/A,0.03m,20th May 14  ,25th Mar 19
533,Devil May Cry HD Collection,X360,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.38m,N/A,N/A,N/A,N/A,N/A,03rd Apr 12  ,07th Feb 18
534,Bionic Commando,X360,Capcom  ,GRIN  ,N/A  ,7.1  ,8.0  ,0.38m,N/A,N/A,N/A,N/A,N/A,19th May 09  ,N/A
535,Major League Baseball 2K6,X360,2K Sports  ,Kush Games  ,N/A  ,6.3  ,N/A  ,N/A,0.37m,0.34m,N/A,N/A,0.03m,10th Apr 06  ,N/A
536,Kingdom Under Fire: Circle of Doom,X360,Microsoft  ,Blue Side  ,N/A  ,N/A  ,N/A  ,N/A,0.37m,0.18m,0.12m,0.04m,0.04m,08th Jan 08  ,N/A
537,Quake 4,X360,Activision  ,id Software / Raven Software  ,N/A  ,7.3  ,N/A  ,N/A,0.37m,0.32m,0.02m,N/A,0.03m,18th Nov 05  ,N/A
538,Trivial Pursuit,X360,Electronic Arts  ,Adrenalin Interactive  ,N/A  ,N/A  ,N/A  ,N/A,0.37m,0.12m,0.21m,N/A,0.04m,10th Mar 09  ,N/A
539,Super Street Fighter IV: Arcade Edition,X360,Capcom  ,Capcom / Dimps Corporation  ,N/A  ,8.6  ,N/A  ,0.37m,N/A,N/A,N/A,N/A,N/A,28th Jun 11  ,N/A
540,Dungeon Siege III,X360,Square Enix  ,Obsidian Entertainment  ,N/A  ,7.2  ,N/A  ,N/A,0.37m,0.21m,0.12m,0.01m,0.03m,21st Jun 11  ,N/A
541,Tomb Raider: Legend,X360,Eidos Interactive  ,Crystal Dynamics  ,N/A  ,8.1  ,N/A  ,N/A,0.37m,0.27m,0.07m,0.01m,0.03m,11th Apr 06  ,N/A
542,Rise of the Tomb Raider,X360,Square Enix  ,Crystal Dynamics  ,N/A  ,N/A  ,N/A  ,N/A,0.37m,0.21m,0.12m,N/A,0.03m,10th Nov 15  ,11th Apr 18
543,Wanted: Weapons of Fate,X360,Warner Bros. Interactive  ,GRIN  ,6.5  ,6.2  ,N/A  ,N/A,0.37m,0.17m,0.15m,0.00m,0.04m,24th Mar 09  ,N/A
544,Tom Clancy's HAWX 2,X360,Ubisoft  ,Ubisoft Bucharest  ,N/A  ,N/A  ,N/A  ,N/A,0.36m,0.24m,0.09m,0.01m,0.03m,07th Sep 10  ,N/A
545,Just Dance 2016,X360,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,N/A,0.36m,0.26m,0.06m,N/A,0.04m,20th Oct 15  ,05th Apr 18
546,BlazBlue: Calamity Trigger,X360,Aksys Games  ,Arc System Works  ,N/A  ,8.5  ,N/A  ,N/A,0.36m,0.21m,0.08m,0.04m,0.03m,30th Jun 09  ,N/A
547,Spider-Man: Shattered Dimensions,X360,Activision  ,Beenox Studios  ,N/A  ,8.2  ,N/A  ,N/A,0.36m,0.24m,0.09m,N/A,0.03m,07th Sep 10  ,N/A
548,Tiger Woods PGA Tour 14,X360,EA Sports  ,EA Tiburon  ,N/A  ,N/A  ,N/A  ,N/A,0.36m,0.21m,0.12m,N/A,0.03m,26th Mar 13  ,16th Oct 18
549,Kinectimals: Now with Bears!,X360,Microsoft Studios  ,Frontier Developments  ,N/A  ,N/A  ,N/A  ,N/A,0.36m,0.27m,0.06m,N/A,0.03m,11th Oct 11  ,29th Sep 18
550,NBA 2K17,X360,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,N/A,0.35m,0.26m,0.06m,N/A,0.04m,16th Sep 16  ,28th Mar 18
551,Metro: Last Light,X360,Deep Silver  ,4a-games  ,N/A  ,N/A  ,N/A  ,N/A,0.35m,0.17m,0.15m,0.00m,0.03m,14th May 13  ,17th Jul 18
552,EA Sports MMA,X360,EA Sports  ,EA Tiburon  ,N/A  ,7.7  ,N/A  ,N/A,0.35m,0.23m,0.09m,N/A,0.03m,19th Oct 10  ,N/A
553,Terminator Salvation,X360,Warner Bros. Interactive  ,Halcyon  ,N/A  ,5.2  ,N/A  ,N/A,0.35m,0.13m,0.18m,0.00m,0.04m,19th May 09  ,N/A
554,Tropico 4,X360,Kalypso  ,Haemimont Games  ,N/A  ,N/A  ,N/A  ,N/A,0.35m,0.20m,0.12m,N/A,0.03m,18th Oct 11  ,N/A
555,MotoGP 08,X360,Capcom  ,MileStone Inc.  ,N/A  ,6.8  ,N/A  ,N/A,0.35m,0.11m,0.20m,N/A,0.04m,28th Oct 08  ,N/A
556,Def Jam Icon,X360,Electronic Arts  ,Unknown  ,N/A  ,6.3  ,N/A  ,N/A,0.35m,0.30m,0.01m,0.00m,0.03m,06th Mar 07  ,N/A
557,Tekken Tag Tournament 2,X360,Namco Bandai Games  ,Bandai Namco Games  ,N/A  ,N/A  ,N/A  ,N/A,0.34m,0.19m,0.11m,0.01m,0.03m,11th Sep 12  ,21st Apr 18
558,UEFA Euro 2008 Austria-Switzerland,X360,Electronic Arts  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,0.34m,0.08m,0.23m,N/A,0.03m,19th May 08  ,N/A
559,FIFA Street 3,X360,EA Sports BIG   ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,0.34m,0.17m,0.14m,N/A,0.04m,18th Feb 08  ,N/A
560,WWE All Stars,X360,THQ  ,THQ  ,N/A  ,7.7  ,N/A  ,N/A,0.34m,0.18m,0.14m,N/A,0.03m,29th Mar 11  ,N/A
561,Supreme Commander 2,X360,Square Enix  ,Gas Powered Games  ,N/A  ,8.2  ,N/A  ,N/A,0.34m,0.23m,0.09m,N/A,0.03m,16th Mar 10  ,N/A
562,Tenchu Z,X360,Microsoft  ,K2 LLC  ,N/A  ,5.7  ,N/A  ,N/A,0.34m,0.27m,0.02m,0.02m,0.03m,12th Jun 07  ,N/A
563,F.E.A.R.,X360,Vivendi Games  ,Day 1 Studios  ,N/A  ,8.6  ,N/A  ,N/A,0.34m,0.28m,0.03m,N/A,0.03m,31st Oct 06  ,N/A
564,Guitar Hero Live,X360,Activision  ,FreeStyleGames  ,N/A  ,N/A  ,N/A  ,N/A,0.34m,0.20m,0.11m,N/A,0.03m,20th Oct 15  ,15th Mar 18
