position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
62,Final Fantasy Adventure,GB,Square  ,Square  ,N/A  ,9.0  ,N/A  ,N/A,0.38m,N/A,N/A,0.38m,N/A,01st Nov 91  ,N/A
63,Mini-Yonku GB: Let's & Go!!,GB,ASCII Entertainment  ,Jupiter Multimedia  ,N/A  ,N/A  ,N/A  ,N/A,0.37m,N/A,N/A,0.37m,0.00m,23rd May 97  ,N/A
64,Picross 2,GB,Nintendo  ,Jupiter Multimedia  ,N/A  ,N/A  ,N/A  ,N/A,0.35m,N/A,N/A,0.35m,0.00m,19th Oct 96  ,N/A
65,Extra Bases,GB,Bandai  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,0.33m,N/A,N/A,0.33m,N/A,01st Apr 91  ,N/A
66,Kirby's Block Ball,GB,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,N/A,0.32m,N/A,N/A,0.32m,N/A,01st May 96  ,N/A
67,Mario Golf,GB,Nintendo  ,Camelot Software Planning  ,N/A  ,N/A  ,N/A  ,N/A,0.31m,N/A,N/A,0.31m,N/A,01st Oct 99  ,N/A
68,Gameboy Gallery,GB,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,N/A,0.30m,N/A,N/A,0.30m,0.00m,27th Apr 95  ,N/A
69,Hamster Tarou,GB,Jorudan  ,Jorudan  ,N/A  ,N/A  ,N/A  ,N/A,0.30m,N/A,N/A,0.30m,N/A,29th Oct 99  ,N/A
70,Mega Man: Dr. Wily's Revenge,GB,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,0.28m,N/A,N/A,0.28m,N/A,01st Dec 91  ,N/A
71,Mega Man II,GB,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,0.28m,N/A,N/A,0.28m,N/A,29th Jan 92  ,N/A
72,Donkey Kong GB: Dinky Kong & Dixie Kong,GB,Nintendo  ,Rare Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,0.28m,N/A,N/A,0.28m,0.00m,28th Jan 00  ,N/A
73,Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,GB,ChunSoft  ,Aquamarine  ,N/A  ,N/A  ,N/A  ,N/A,0.27m,N/A,N/A,0.27m,N/A,22nd Nov 96  ,N/A
74,Medarot 3: Kabuto / Kuwagata Version,GB,Imagineer  ,Natsume  ,N/A  ,N/A  ,N/A  ,N/A,0.27m,N/A,N/A,0.27m,0.00m,23rd Jul 00  ,N/A
75,Power Pro Kun Pocket 2,GB,Konami  ,Diamond Head  ,N/A  ,N/A  ,N/A  ,N/A,0.25m,N/A,N/A,0.25m,N/A,30th Mar 00  ,N/A
76,Harvest Moon GB,GB,Natsume  ,Victor Interactive Software  ,N/A  ,N/A  ,N/A  ,N/A,0.23m,N/A,N/A,0.23m,0.00m,01st Aug 98  ,N/A
77,Tetris 2 (weekly jp sales),GB,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,N/A,0.23m,N/A,N/A,0.23m,0.00m,01st Jan 93  ,N/A
78,Tetris Attack,GB,Nintendo  ,Intelligent Systems  ,N/A  ,N/A  ,N/A  ,N/A,0.23m,N/A,N/A,0.23m,N/A,01st Aug 96  ,N/A
79,Kirby's Star Stacker,GB,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,N/A,0.22m,N/A,N/A,0.22m,N/A,24th Jan 97  ,N/A
