position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
95,Plants vs. Zombies: Garden Warfare 2,XOne,Electronic Arts  ,PopCap Games  ,N/A  ,N/A  ,N/A  ,N/A,0.86m,0.47m,0.32m,N/A,0.08m,23rd Feb 16  ,23rd May 18
96,Madden NFL 25,XOne,EA Sports  ,EA Tiburon  ,N/A  ,7.1  ,N/A  ,N/A,0.83m,0.69m,0.06m,N/A,0.09m,22nd Nov 13  ,06th Jan 18
97,Metal Gear Solid V: The Phantom Pain,XOne,Konami Digital Entertainment  ,Kojima Productions  ,N/A  ,N/A  ,N/A  ,N/A,0.83m,0.49m,0.25m,0.02m,0.07m,01st Sep 15  ,04th May 18
98,Guitar Hero Live,XOne,Activision  ,FreeStyleGames  ,N/A  ,N/A  ,N/A  ,N/A,0.83m,0.52m,0.23m,N/A,0.08m,20th Oct 15  ,15th Mar 18
99,Shadow of the Tomb Raider,XOne,Square Enix  ,Eidos Montreal  ,N/A  ,N/A  ,N/A  ,N/A,0.78m,0.46m,0.25m,N/A,0.07m,14th Sep 18  ,12th Sep 18
100,LEGO Jurassic World,XOne,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,0.78m,0.44m,0.27m,N/A,0.07m,12th Jun 15  ,06th Apr 18
101,Rare Replay,XOne,Microsoft Studios  ,Rare Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,0.78m,0.42m,0.27m,0.01m,0.07m,04th Aug 15  ,25th Sep 18
102,Mass Effect: Andromeda,XOne,Electronic Arts  ,BioWare Corp.  ,N/A  ,N/A  ,N/A  ,N/A,0.78m,0.50m,0.20m,N/A,0.07m,21st Mar 17  ,03rd Jul 18
103,Minecraft: Story Mode,XOne,Mojang  ,Telltale Games  ,N/A  ,N/A  ,N/A  ,N/A,0.77m,0.46m,0.24m,N/A,0.07m,27th Oct 15  ,13th Jan 18
104,Fortnite,XOne,Gearbox Software  ,Epic Games  ,N/A  ,N/A  ,N/A  ,N/A,0.77m,0.60m,0.09m,N/A,0.08m,21st Jul 17  ,19th Jun 18
105,Quantum Break,XOne,Microsoft Studios  ,Remedy Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.76m,0.42m,0.25m,0.02m,0.07m,05th Apr 16  ,25th Sep 18
106,Wolfenstein: The New Order,XOne,Bethesda Softworks  ,MachineGames  ,N/A  ,N/A  ,N/A  ,N/A,0.75m,0.39m,0.30m,N/A,0.06m,20th May 14  ,25th Mar 19
107,Rock Band 4,XOne,Harmonix Music Systems  ,Harmonix Music Systems  ,N/A  ,N/A  ,N/A  ,N/A,0.75m,0.62m,0.05m,N/A,0.08m,06th Oct 15  ,23rd May 18
108,Need for Speed (2015),XOne,Electronic Arts  ,Ghost Games  ,N/A  ,6.7  ,N/A  ,N/A,0.74m,0.35m,0.33m,N/A,0.06m,03rd Nov 15  ,03rd Apr 18
109,The Sims 4,XOne,Electronic Arts  ,Maxis  ,N/A  ,N/A  ,N/A  ,N/A,0.73m,0.42m,0.24m,N/A,0.07m,17th Nov 17  ,29th Dec 17
110,Need for Speed: Payback,XOne,Electronic Arts  ,Ghost Games  ,N/A  ,5.9  ,N/A  ,N/A,0.73m,0.42m,0.24m,N/A,0.07m,10th Nov 17  ,04th Apr 18
111,LEGO Dimensions,XOne,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,0.72m,0.47m,0.18m,N/A,0.07m,27th Sep 15  ,19th Mar 18
