position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
91,NBA 2K13,WiiU,2K Sports  ,Visual Concepts  ,N/A  ,7.6  ,N/A  ,N/A,0.14m,0.08m,0.04m,N/A,0.01m,18th Nov 12  ,04th Jan 18
92,Transformers: Prime,WiiU,Activision  ,Now Production  ,N/A  ,N/A  ,N/A  ,N/A,0.13m,0.09m,0.03m,N/A,0.01m,18th Nov 12  ,06th Jan 19
93,Game Party Champions,WiiU,Warner Bros. Interactive Entertainment  ,Phosphor Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.13m,0.09m,0.03m,N/A,0.01m,18th Nov 12  ,08th Sep 20
94,Watch Dogs,WiiU,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,0.13m,0.07m,0.05m,N/A,0.01m,18th Nov 14  ,15th Mar 18
95,WipeOut 3 The Game,WiiU,Activision  ,Behaviour Interactive  ,N/A  ,N/A  ,N/A  ,N/A,0.13m,0.11m,N/A,N/A,0.01m,18th Nov 12  ,16th Mar 18
96,007 Legends,WiiU,Activision  ,Eurocom  ,N/A  ,4.2  ,N/A  ,N/A,0.13m,0.06m,0.06m,N/A,0.01m,11th Dec 12  ,16th Mar 18
97,Tom Clancy's Splinter Cell: Blacklist,WiiU,Ubisoft  ,Ubisoft Shanghai  ,N/A  ,9.2  ,N/A  ,N/A,0.13m,0.04m,0.07m,N/A,0.01m,20th Aug 13  ,08th Mar 18
98,Taiko Drum Master: Tokumori!,WiiU,Namco Bandai Games  ,Namco Bandai Games  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,N/A,N/A,0.12m,N/A,20th Nov 14  ,N/A
99,The Voice,WiiU,Activision  ,Zoe Mode  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.11m,0.00m,N/A,0.01m,21st Oct 14  ,16th Mar 18
100,Marvel Avengers: Battle for Earth,WiiU,Ubisoft  ,Ubisoft Quebec  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.06m,0.05m,N/A,0.01m,04th Dec 12  ,01st Jan 18
101,LEGO Batman 2: DC Super Heroes,WiiU,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.04m,0.07m,N/A,0.01m,21st May 13  ,15th Mar 18
102,Fatal Frame: Maiden of Black Water,WiiU,Nintendo  ,Koei Tecmo Games  ,N/A  ,N/A  ,5.8  ,N/A,0.12m,N/A,0.03m,0.09m,0.00m,22nd Oct 15  ,01st Jan 18
103,The Walking Dead: Survival Instinct,WiiU,Activision  ,Terminal Reality  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.08m,0.03m,N/A,0.01m,19th Mar 13  ,16th Jan 18
104,Deus Ex: Human Revolution,WiiU,Square Enix  ,Eidos Interactive  ,N/A  ,8.6  ,N/A  ,N/A,0.11m,0.05m,0.05m,N/A,0.01m,22nd Oct 13  ,16th Mar 18
105,Scribblenauts Unmasked: A DC Comics Adventure,WiiU,Warner Bros. Interactive Entertainment  ,5TH Cell  ,N/A  ,N/A  ,N/A  ,N/A,0.10m,0.09m,N/A,N/A,0.01m,24th Sep 13  ,03rd Apr 18
106,Just Dance 2019,WiiU,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,N/A,0.10m,0.06m,0.03m,N/A,0.01m,23rd Oct 18  ,28th Sep 18
107,Angry Birds: Star Wars,WiiU,Activision  ,Exient Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.10m,0.05m,0.04m,N/A,0.01m,29th Oct 13  ,16th Mar 18
108,The Smurfs 2,WiiU,Ubisoft  ,Way Forward  ,N/A  ,N/A  ,N/A  ,N/A,0.10m,0.05m,0.04m,N/A,0.01m,23rd Jul 13  ,17th Mar 18
109,Just Dance Wii U,WiiU,Nintendo  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,0.09m,N/A,N/A,0.09m,N/A,03rd Apr 14  ,N/A
110,The Amazing Spider-Man (2012),WiiU,Activision  ,Beenox  ,N/A  ,6.0  ,N/A  ,N/A,0.09m,0.05m,0.04m,N/A,0.01m,05th Mar 13  ,15th Mar 18
111,Just Dance: Disney Party 2,WiiU,Ubisoft  ,Ubisoft San Francisco  ,N/A  ,N/A  ,N/A  ,N/A,0.09m,0.07m,0.01m,N/A,0.01m,20th Oct 15  ,07th Apr 18
112,How to Train Your Dragon 2,WiiU,Little Orbit  ,Torus Games  ,N/A  ,N/A  ,N/A  ,N/A,0.08m,0.03m,0.05m,N/A,0.01m,10th Jun 14  ,17th Mar 18
113,Warriors Orochi 3 Hyper,WiiU,Tecmo Koei  ,Koei  ,N/A  ,N/A  ,N/A  ,N/A,0.08m,0.04m,0.03m,0.02m,0.01m,18th Nov 12  ,13th Sep 20
114,Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!,WiiU,Namco Bandai Games  ,Bandai Namco Games  ,N/A  ,N/A  ,N/A  ,N/A,0.08m,N/A,N/A,0.08m,N/A,26th Nov 15  ,08th Apr 18
115,Legend of Kay Anniversary,WiiU,Nordic Games  ,Neon Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.05m,0.02m,N/A,0.01m,29th May 15  ,11th Sep 18
116,Adventure Time: Finn & Jake Investigations,WiiU,Little Orbit  ,Vicious Cycle  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.04m,0.02m,N/A,0.01m,20th Oct 15  ,17th Mar 18
117,DuckTales: Remastered,WiiU,Capcom  ,WayForward  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.06m,N/A,N/A,0.01m,12th Nov 13  ,17th Feb 19
118,Tank! Tank! Tank!,WiiU,Namco Bandai Games  ,Namco Bandai Games  ,N/A  ,4.7  ,N/A  ,N/A,0.07m,0.02m,0.01m,0.05m,0.00m,18th Nov 12  ,18th Jan 18
119,Minecraft: Story Mode,WiiU,Mojang  ,Telltale Games  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.04m,0.03m,N/A,0.01m,13th Dec 16  ,22nd Mar 18
120,One Piece Unlimited World: Red,WiiU,Namco Bandai Games  ,Ganbarion  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,N/A,0.04m,0.03m,0.00m,31st Jul 14  ,19th Oct 18
