position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
677,de Blob,NS,THQ Nordic  ,THQ Nordic  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jun 18  ,13th Feb 18
678,De Mambo,NS,The Dangerous Kitchen  ,The Dangerous Kitchen  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Jul 17  ,11th Mar 18
679,Dead by Daylight,NS,Koch Media  ,Behaviour Interactive Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Sep 19  ,13th Feb 19
680,Dead or Alive Xtreme 3: Scarlet,NS,Koei Tecmo  ,Team Ninja  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Mar 19  ,22nd Mar 19
681,Dead or School,NS,Unknown  ,Nanafushi  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,15th Jul 18
682,Dead Synchronicity: Tomorrow Comes Today,NS,Badland Studio  ,Fictiorama Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Nov 17  ,11th Mar 18
683,Deadly Premonition 2: A Blessing in Disguise,NS,Rising Star Games  ,Toybox Games  ,3.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Jul 20  ,16th May 20
684,Deadly Premonition Origins,NS,Toybox  ,Toybox Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Sep 20  ,11th May 20
685,Dear Magi: Magical Boy's Department,NS,CaeruX  ,CaeruX  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Jun 19  ,09th Jun 19
686,Death Come True,NS,Izanagi Games  ,Too Kyo Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Jun 20  ,17th Dec 19
687,Death Coming,NS,Zodiac Interactive  ,NEXT Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Apr 19  ,20th Apr 19
688,Death Road to Canada,NS,Unknown  ,Rocketcat Games  ,6.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,31st Jan 18
689,Death Squared,NS,SMG Studio  ,SMG Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Jul 17  ,11th Mar 18
690,Decay of Logos,NS,Rising Star Games  ,Amplify Creations  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Aug 19  ,10th Aug 19
691,Deep Ones,NS,Flyhigh Works  ,Sometimes You  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Sep 17  ,11th Mar 18
692,Defoliation,NS,Cosen  ,Cosen  ,N/A  ,N/A  ,5.0  ,N/A,N/A,N/A,N/A,N/A,N/A,31st May 18  ,21st Jun 18
693,Degrees of Separation,NS,Unknown  ,Moondrop  ,5.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,19th Feb 19
694,DELTARUNE,NS,8-4  ,Toby Fox  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 19  ,13th Feb 19
695,Demon Turf,NS,Fabraz  ,Fabraz  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,18th Jun 20
696,Descent (2019),NS,Unknown  ,Descendent Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,11th Nov 18
697,Desert Child,NS,Akupara Games  ,Oscar Brittain  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,11th Dec 18  ,12th Nov 18
698,Destiny Connect: Tick Tock Travelers,NS,NIS America  ,Nippon Ichi Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Oct 19  ,22nd Mar 19
699,Detention,NS,Coconut Island Games  ,Red Candle Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Mar 18  ,22nd Feb 18
700,Devil May Cry,NS,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Oct 19  ,06th May 19
701,Devil May Cry 3 Special Edition,NS,Unknown  ,Capcom  ,8.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,24th Feb 20
702,Devil’s Hunt,NS,1C Company  ,Layopi Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,07th Aug 19
703,Diablo II: Resurrected,NS,Blizzard Entertainment  ,Vicarious Visions  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,20th Feb 21
704,Diabolik Lovers: Chaos Lineage,NS,Idea Factory  ,Rejet  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Mar 19  ,22nd Mar 19
705,Die for Valhalla!,NS,Unknown  ,Monster Couch  ,6.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,04th Jul 18
706,Digimon Story: Cyber Sleuth Complete Edition,NS,Bandai Namco Entertainment  ,Media.Vision  ,N/A  ,N/A  ,8.0  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Oct 19  ,08th Jul 19
707,Digimon Survive,NS,Bandai Namco Entertainment  ,Bandai Namco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,10th Apr 19
708,Dimension Drive,NS,2Awesome Studio  ,2Awesome Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Dec 17  ,11th Mar 18
709,Disaster Report 4 Plus: Summer Memories,NS,NIS America  ,Granzella  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Apr 20  ,17th Oct 19
710,Disc Jam,NS,High Horse Entertainment  ,High Horse Entertainment  ,5.0  ,N/A  ,4.9  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Feb 18  ,12th Feb 18
711,Disco Dodgeball Remix,NS,Unknown  ,Zen Studios  ,7.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,14th May 18
712,Disco Elysium,NS,ZA/UM  ,ZA/UM  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,31st May 20
713,Disgaea 4 Complete+,NS,NIS America  ,Nippon Ichi Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Oct 19  ,08th Jul 19
714,Disgaea 6: Defiance of Destiny,NS,NIS America  ,Nippon Ichi Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jul 21  ,17th Sep 20
715,Disney Classic Games: Aladdin and The Lion King,NS,Unknown  ,Disney Interactive  ,8.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,03rd Nov 19
716,Disney Tsum Tsum Festival,NS,Bandai Namco Entertainment  ,Bandai Namco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Nov 19  ,14th Feb 19
717,Divinity: Original Sin 2 - Definitive Edition,NS,Larian Studios  ,Larian Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Sep 19  ,15th Sep 19
718,Don't Knock Twice,NS,Wales Interactive Ltd.  ,Wales Interactive Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Oct 17  ,03rd Feb 18
719,Donut County,NS,Annapurna Interactive  ,Ben Esposito  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Dec 18  ,14th Dec 18
720,Doom,NS,Bethesda Softworks  ,id Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jul 19  ,30th Jul 19
721,Doom 3,NS,Bethesda Softworks  ,id Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jul 19  ,30th Jul 19
722,Doom 64,NS,Bethesda Softworks  ,Nightdive Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Mar 20  ,22nd Jan 20
723,Doom Eternal,NS,Bethesda Softworks  ,id Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Dec 20  ,13th Jun 18
724,Doom Eternal: The Ancient Gods - Part Two,NS,Unknown  ,id Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,01st Apr 21
725,Doom II,NS,Bethesda Softworks  ,id Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jul 19  ,30th Jul 19
726,Doraemon: Nobita's Chronicle of the Moon Exploration,NS,FuRyu Corporation  ,FuRyu  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 19  ,21st Mar 19
727,Doraemon: Nobita's Story of Seasons,NS,Bandai Namco  ,Marvelous  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,11th Oct 19  ,08th Apr 19
728,Double Cross,NS,Graffiti  ,13AM Games  ,6.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Jan 19  ,02nd Jan 19
729,Double Dragon & Kunio-kun: Retro Brawler Bundle,NS,Unknown  ,Arc System Works  ,7.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,19th Feb 20
730,Double Dragon 4,NS,Arc System Works  ,InterOne  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Sep 17  ,11th Mar 18
