position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Grand Theft Auto: San Andreas,PS2,Rockstar Games  ,Rockstar North  ,N/A  ,9.5  ,N/A  ,17.30m,N/A,N/A,N/A,N/A,N/A,26th Oct 04  ,N/A
2,Grand Theft Auto: Vice City,PS2,Rockstar Games  ,Rockstar North  ,N/A  ,9.6  ,N/A  ,N/A,16.15m,8.41m,5.49m,0.47m,1.78m,28th Oct 02  ,N/A
3,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,9.3  ,N/A  ,14.89m,N/A,N/A,N/A,N/A,N/A,09th Jul 01  ,N/A
4,Grand Theft Auto III,PS2,Rockstar Games  ,DMA Design  ,N/A  ,9.5  ,N/A  ,N/A,13.10m,6.99m,4.51m,0.30m,1.30m,23rd Oct 01  ,N/A
5,Gran Turismo 4,PS2,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,8.7  ,N/A  ,11.76m,N/A,N/A,N/A,N/A,N/A,22nd Feb 05  ,N/A
6,Final Fantasy X,PS2,Square  ,SquareSoft  ,N/A  ,9.0  ,10.0  ,8.60m,N/A,N/A,N/A,N/A,N/A,17th Dec 01  ,N/A
7,Need for Speed Underground,PS2,Electronic Arts  ,EA Black Box  ,N/A  ,8.6  ,N/A  ,N/A,7.20m,3.27m,2.83m,0.08m,1.02m,17th Nov 03  ,N/A
8,Metal Gear Solid 2: Sons of Liberty,PS2,Konami  ,Konami Computer Entertainment Japan  ,N/A  ,9.5  ,7.0  ,7.00m,N/A,N/A,N/A,N/A,N/A,12th Nov 01  ,N/A
9,Need for Speed Underground 2,PS2,Electronic Arts  ,EA Black Box  ,N/A  ,8.3  ,N/A  ,N/A,6.90m,2.71m,3.02m,0.08m,1.09m,15th Nov 04  ,N/A
10,Medal of Honor: Frontline,PS2,Electronic Arts  ,EA Los Angeles  ,N/A  ,9.0  ,N/A  ,N/A,6.83m,2.93m,2.75m,0.17m,0.99m,28th May 02  ,N/A
11,Final Fantasy XII,PS2,Square Enix  ,Square Enix  ,N/A  ,9.4  ,9.5  ,6.40m,N/A,N/A,N/A,N/A,N/A,31st Oct 06  ,N/A
12,Kingdom Hearts,PS2,Square EA  ,SquareSoft  ,N/A  ,8.5  ,N/A  ,6.30m,N/A,N/A,N/A,N/A,N/A,16th Sep 02  ,N/A
13,Tekken 5,PS2,Namco  ,Namco  ,N/A  ,9.0  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,24th Feb 05  ,N/A
14,Final Fantasy X-2,PS2,Square Enix  ,Square Enix  ,N/A  ,8.3  ,N/A  ,5.50m,N/A,N/A,N/A,N/A,N/A,18th Nov 03  ,N/A
15,Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive  ,Traveller's Tales  ,N/A  ,6.9  ,N/A  ,N/A,5.42m,2.07m,2.29m,0.24m,0.82m,29th Oct 01  ,N/A
