position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
493,Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,Wii,Namco Bandai  ,Bandai Namco Games  ,N/A  ,N/A  ,N/A  ,N/A,0.30m,N/A,N/A,0.30m,N/A,02nd Dec 10  ,N/A
494,Shaun White Snowboarding: World Stage,Wii,Ubisoft  ,Ubisoft Montreal  ,N/A  ,7.2  ,N/A  ,N/A,0.30m,0.24m,0.03m,N/A,0.02m,08th Nov 09  ,N/A
495,I Spy: Spooky Mansion,Wii,Storm City Games  ,Storm City Games  ,N/A  ,N/A  ,N/A  ,N/A,0.30m,0.27m,N/A,N/A,0.02m,19th Oct 10  ,N/A
496,MySims SkyHeroes,Wii,Electronic Arts  ,The Sims Studio  ,N/A  ,6.4  ,N/A  ,N/A,0.30m,0.16m,0.10m,N/A,0.03m,28th Sep 10  ,N/A
497,WWII Aces,Wii,Destineer  ,Arcade Moon  ,N/A  ,N/A  ,N/A  ,N/A,0.29m,0.27m,N/A,N/A,0.02m,21st Mar 08  ,N/A
498,ExerBeat,Wii,Namco Bandai  ,Tamsoft Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.29m,0.10m,0.16m,N/A,0.03m,17th May 11  ,N/A
499,Shrek: Forever After,Wii,Activision  ,XPEC Entertainment Inc.  ,N/A  ,N/A  ,N/A  ,N/A,0.29m,0.18m,0.09m,N/A,0.03m,18th May 10  ,N/A
500,Harvest Moon: Magical Melody,Wii,Natsume  ,Marvelous Interactive  ,N/A  ,6.3  ,N/A  ,N/A,0.29m,0.23m,0.04m,N/A,0.02m,25th Aug 09  ,N/A
501,Karaoke Revolution Glee: Volume 3,Wii,Konami  ,Hijinx Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.29m,0.23m,0.04m,N/A,0.02m,22nd Nov 11  ,N/A
502,Just Dance Wii 2,Wii,Nintendo  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,0.29m,N/A,N/A,0.29m,N/A,26th Jul 12  ,30th Aug 18
503,Prince of Persia: Rival Swords,Wii,Ubisoft  ,Ubisoft Montreal  ,N/A  ,7.0  ,N/A  ,N/A,0.29m,0.24m,0.03m,N/A,0.02m,03rd Apr 07  ,N/A
504,Sesame Street: Cookie's Counting Carnival,Wii,Warner Bros. Interactive  ,Black Lantern Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.29m,0.27m,N/A,N/A,0.02m,20th Oct 10  ,N/A
505,Trauma Center: New Blood,Wii,Atlus  ,Atlus Co.  ,N/A  ,7.5  ,N/A  ,N/A,0.29m,0.22m,0.04m,0.01m,0.02m,20th Nov 07  ,N/A
506,The BIGS 2,Wii,2K Sports  ,Blue Castle Games  ,6.1  ,6.3  ,N/A  ,N/A,0.29m,0.26m,0.01m,N/A,0.02m,07th Jul 09  ,N/A
507,MLB Power Pros,Wii,2K Sports  ,PawaPuro Production  ,N/A  ,8.5  ,N/A  ,N/A,0.29m,0.23m,N/A,0.04m,0.02m,03rd Oct 07  ,N/A
508,One Piece Unlimited Cruise 2: Awakening of a Hero,Wii,Namco Bandai  ,Ganbarion  ,N/A  ,N/A  ,N/A  ,N/A,0.29m,N/A,0.10m,0.17m,0.01m,25th Sep 09  ,N/A
509,Sengoku Basara: Samurai Heroes,Wii,Capcom  ,Capcom  ,N/A  ,6.0  ,N/A  ,N/A,0.29m,0.06m,0.02m,0.20m,0.01m,12th Oct 10  ,N/A
510,Puzzle Quest: Challenge of the Warlords,Wii,D3 Publisher  ,Vicious Cycle  ,N/A  ,N/A  ,N/A  ,N/A,0.29m,0.26m,0.00m,N/A,0.02m,30th Nov 07  ,N/A
511,Dead Rising: Chop Till You Drop,Wii,Capcom  ,Capcom Production Studio 1 / TOSE Software  ,7.7  ,6.7  ,7.2  ,N/A,0.29m,0.15m,0.07m,0.05m,0.02m,24th Feb 09  ,N/A
512,Dragon Ball Z: Budokai Tenkaichi 2,Wii,Atari  ,Spike  ,N/A  ,N/A  ,N/A  ,N/A,0.29m,0.24m,0.03m,N/A,0.02m,15th Nov 06  ,N/A
513,Purr Pals,Wii,Crave Entertainment  ,inXile  ,N/A  ,N/A  ,N/A  ,N/A,0.29m,0.26m,N/A,N/A,0.02m,10th Jul 08  ,N/A
514,Disney Channel: All Star Party,Wii,Disney Interactive Studios  ,"Page 44 Studios, LLC  ",N/A  ,N/A  ,N/A  ,N/A,0.28m,0.18m,0.08m,N/A,0.03m,26th Oct 10  ,N/A
515,Reel Fishing: Angler's Dream,Wii,Natsume  ,SIMS  ,N/A  ,N/A  ,N/A  ,N/A,0.28m,0.25m,0.01m,0.00m,0.02m,25th Aug 09  ,N/A
516,Guitar Hero: Van Halen,Wii,Activision  ,Neversoft Entertainment  ,N/A  ,5.0  ,N/A  ,N/A,0.28m,0.13m,0.12m,N/A,0.03m,22nd Dec 09  ,N/A
517,Shrek the Third,Wii,Activision  ,Amaze Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.28m,0.25m,0.01m,N/A,0.02m,15th May 07  ,N/A
518,Ben 10 Ultimate Alien: Cosmic Destruction,Wii,D3 Publisher  ,Papaya Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.28m,0.17m,0.09m,N/A,0.02m,05th Oct 10  ,N/A
519,Batman: The Brave and the Bold the Videogame,Wii,Warner Bros. Interactive  ,WayForward Technologies  ,N/A  ,7.5  ,N/A  ,N/A,0.28m,0.20m,0.05m,N/A,0.02m,07th Sep 10  ,N/A
520,Okami,Wii,Capcom  ,Ready at Dawn Studios  ,N/A  ,9.0  ,9.6  ,0.28m,N/A,N/A,N/A,N/A,N/A,15th Apr 08  ,N/A
521,We Ski & Snowboard,Wii,Namco Bandai  ,Namco Bandai Games  ,N/A  ,N/A  ,N/A  ,0.28m,N/A,N/A,N/A,N/A,N/A,03rd Mar 09  ,N/A
522,CSI: Deadly Intent,Wii,Ubisoft  ,Telltale Games  ,N/A  ,N/A  ,N/A  ,N/A,0.28m,0.12m,0.13m,N/A,0.03m,27th Oct 09  ,N/A
523,ExciteBots: Trick Racing,Wii,Nintendo  ,Monster Games  ,8.5  ,7.7  ,N/A  ,N/A,0.28m,0.26m,N/A,N/A,0.02m,20th Apr 09  ,N/A
524,Avatar: The Last Airbender,Wii,THQ  ,AWE Games  ,N/A  ,N/A  ,N/A  ,N/A,0.28m,0.23m,0.02m,N/A,0.02m,13th Nov 06  ,N/A
525,Ice Age: Dawn of the Dinosaurs,Wii,Activision  ,Eurocom Entertainment Software  ,6.9  ,7.2  ,N/A  ,N/A,0.28m,0.11m,0.14m,N/A,0.03m,30th Jun 09  ,N/A
526,Need for Speed: The Run,Wii,Electronic Arts  ,Firebrand Games  ,N/A  ,N/A  ,N/A  ,N/A,0.28m,0.11m,0.13m,0.01m,0.03m,15th Nov 11  ,N/A
527,Remington Super Slam Hunting: Africa,Wii,Mastiff  ,Mastiff  ,N/A  ,N/A  ,N/A  ,N/A,0.27m,0.25m,N/A,N/A,0.02m,09th Nov 10  ,N/A
528,Create,Wii,Electronic Arts  ,EA Bright Light  ,N/A  ,N/A  ,N/A  ,N/A,0.27m,0.23m,0.03m,N/A,0.02m,16th Nov 10  ,N/A
529,Transformers: Cybertron Adventures,Wii,Activision  ,High Moon Studios  ,N/A  ,3.7  ,N/A  ,N/A,0.27m,0.14m,0.10m,N/A,0.02m,22nd Jun 10  ,N/A
530,Angry Birds: Star Wars,Wii,Activision  ,Exient Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.27m,0.15m,0.10m,N/A,0.02m,29th Oct 13  ,16th Mar 18
531,One Piece Unlimited Cruise 1: The Treasure Beneath the Waves,Wii,Namco Bandai  ,Ganbarion  ,N/A  ,N/A  ,N/A  ,N/A,0.27m,N/A,0.07m,0.19m,0.01m,19th Jun 09  ,N/A
532,NHL 2K11,Wii,2K Sports  ,Visual Concepts  ,N/A  ,6.3  ,N/A  ,N/A,0.27m,0.23m,0.02m,N/A,0.02m,24th Aug 10  ,N/A
533,Red Steel 2,Wii,Ubisoft  ,Ubisoft Paris  ,8.0  ,7.8  ,8.5  ,0.27m,N/A,N/A,N/A,N/A,N/A,23rd Mar 10  ,N/A
534,The Conduit,Wii,Sega  ,High Voltage Software  ,8.3  ,6.6  ,8.2  ,0.27m,N/A,N/A,N/A,N/A,N/A,23rd Jun 09  ,N/A
535,Despicable Me: The Game,Wii,D3 Publisher  ,Monkey Bar Games  ,N/A  ,N/A  ,N/A  ,N/A,0.27m,0.16m,0.08m,N/A,0.02m,06th Jul 10  ,N/A
