position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
963,Tiny Troopers Joint Ops,PSV,Unknown  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Nov 14  ,N/A
964,Titan Souls,PSV,Devolver Digital  ,Acid Nerve  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Apr 15  ,N/A
965,Toeic Test: Jissen Tokkun,PSV,Media5  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Mar 12  ,N/A
966,Tokyo Xanadu eX+,PSV,Aksys Games  ,Nihon Falcom Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Dec 17  ,N/A
967,Top Darts,PSV,Sony Computer Entertainment  ,Devil's Details  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Feb 12  ,N/A
968,Trolly Bird,PSV,Unknown  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Feb 15  ,N/A
969,Tuffy the Corgi and the Tower of Bones,PSV,Action Button Entertainment LLC  ,Action Button Entertainment LLC  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Jun 14  ,N/A
970,Two Brothers,PSV,Ackkstudios  ,Ackk Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 15  ,02nd Aug 18
971,Unmechanical,PSV,Grip Games  ,Grip Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 16  ,N/A
972,Urban Trial Freestyle,PSV,Unknown  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 13  ,N/A
973,Velocity (2012),PSV,Futurlab 1  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th May 12  ,N/A
974,Voltron,PSV,THQ  ,THQ  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
975,Volume,PSV,Mike Bithell Games  ,Mike Bithell Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Jan 16  ,10th May 18
976,Wargame,PSV,Sony Computer Entertainment America  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Nov 09  ,N/A
977,Werewolves vs Vampires,PSV,10tons Ltd  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Feb 14  ,N/A
978,Woah Dave!,PSV,Gaijin Games Inc.  ,Gaijin Games Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Jan 15  ,N/A
979,WonderFlick,PSV,Level 5  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 15  ,N/A
980,WRC 3: FIA World Rally Championship,PSV,Namco  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Mar 13  ,N/A
981,"Ys: Celceta, Sea of Trees",PSV,Unknown  ,Falcom  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
