position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
795,This War of Mine,PS4,11 bit studios  ,11 bit studios  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,0.02m,N/A,0.00m,29th Jan 16  ,N/A
796,Aokana: Four Rhythm Across the Blue,PS4,Sprite  ,Sprite  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,N/A,0.03m,N/A,21st Aug 20  ,07th Apr 18
797,Zero Escape: Zero Time Dilemma,PS4,Rising Star Games  ,Chime  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,0.02m,N/A,N/A,0.00m,18th Aug 17  ,03rd Jul 18
798,AereA,PS4,Soedesco  ,Triangle Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,0.02m,N/A,N/A,0.00m,28th Jul 17  ,01st Aug 18
799,Air Missions: Hind,PS4,Soedesco  ,3Division  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,0.02m,N/A,N/A,0.00m,09th Oct 18  ,13th Aug 18
800,Root Letter,PS4,PQube  ,Kadokawa Games  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,N/A,0.03m,N/A,10th Nov 16  ,20th Sep 18
801,Steins;Gate Elite,PS4,Spike Chunsoft  ,5pb. Inc.  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,N/A,0.03m,N/A,19th Feb 19  ,06th Nov 18
802,Agony,PS4,Maximum Games  ,Madmind Studio  ,N/A  ,5.0  ,N/A  ,N/A,0.03m,0.02m,N/A,N/A,0.00m,29th May 18  ,30th Apr 18
803,Cladun Returns: This Is Sengoku!,PS4,NIS America  ,Nippon Ichi Software  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,0.02m,N/A,N/A,0.00m,06th Jun 17  ,20th Sep 18
804,Legendary Fishing,PS4,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,0.02m,N/A,N/A,0.00m,18th Sep 18  ,22nd Nov 18
805,The Girl and the Robot,PS4,Soedesco  ,Flying Carpets Games  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,0.02m,N/A,N/A,0.00m,29th Sep 17  ,01st May 19
806,The Legend of Heroes: Sen no Kiseki: Kai -Thors Military Academy 1204-,PS4,Nihon Falcom Corporation  ,Nihon Falcom Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,N/A,0.03m,N/A,08th Mar 18  ,25th Mar 18
807,Monster Boy and the Cursed Kingdom,PS4,FDG Entertainment  ,Game Atelier  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,0.02m,N/A,N/A,0.00m,06th Nov 18  ,19th Dec 18
808,Past Cure,PS4,Phantom 8 Studio  ,Phantom 8 Studio  ,4.0  ,N/A  ,N/A  ,N/A,0.03m,0.02m,N/A,N/A,0.00m,23rd Feb 18  ,08th Jan 18
809,Omega Quintet,PS4,Compile Heart  ,Compile Heart  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,0.00m,0.02m,0.00m,28th Apr 15  ,02nd Jan 19
810,Mary Skelter: Nightmares 2,PS4,Compile Heart  ,Compile Heart  ,4.0  ,N/A  ,N/A  ,N/A,0.03m,N/A,N/A,0.03m,N/A,12th Jul 18  ,20th Jul 18
811,Touhou Kobuto V: Burst Battle,PS4,NIS America  ,CUBETYPE  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,0.02m,N/A,N/A,0.00m,10th Oct 17  ,04th Jan 18
812,God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,PS4,Namco Bandai Games  ,Bandai Namco Games  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,28th Jan 16  ,20th Sep 18
813,Rugby League Live 3,PS4,Tru Blu Entertainment  ,Big Ant Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,17th Sep 15  ,19th Apr 18
814,Omega Labyrinth Z,PS4,D3Publisher  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,06th Jul 17  ,N/A
815,Lost Sphear,PS4,Square Enix  ,Tokyo RPG Factory  ,N/A  ,6.0  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,23rd Jan 18  ,19th Jul 18
816,Rad Rodgers,PS4,THQ Nordic  ,3D Realms  ,N/A  ,N/A  ,7.0  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,21st Feb 18  ,08th Jan 18
817,SUPERBEAT: XONiC,PS4,PM Studios  ,Nurijoy  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,06th Jun 17  ,20th Sep 18
818,République,PS4,GungHo Online Entertainment  ,Camouflaj  ,N/A  ,6.5  ,N/A  ,N/A,0.02m,N/A,0.01m,0.01m,0.00m,22nd Mar 16  ,15th Apr 18
819,Bullet Girls: Phantasia,PS4,Experience Inc.  ,Shade  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,09th Aug 18  ,23rd Mar 19
820,Redout,PS4,505 Games  ,Nicalis  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,29th Aug 17  ,15th Aug 18
821,Super Stardust Ultra VR,PS4,Sony Interactive Entertainment  ,d3t Ltd  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,10th Oct 16  ,24th Sep 18
822,Resident Evil: Value Pack,PS4,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,29th Sep 16  ,04th Sep 18
823,Trailblazers,PS4,Rising Star Games  ,Supergonk  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,08th May 18  ,22nd Sep 18
