position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
42,Gothic (2021),XS,THQ  ,THQ  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,18th Jun 20
43,Grand Theft Auto V,XS,Rockstar Games  ,Rockstar Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,12th Jun 20
44,Halo Infinite,XS,Xbox Game Studios  ,Microsoft Game Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,13th Dec 19
45,Hitman 3,XS,IO Interactive  ,IO Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,12th Jun 20
46,Hogwarts Legacy,XS,Warner Bros. Interactive Entertainment  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,16th Sep 20
47,Immortals Fenyx Rising,XS,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,03rd Dec 20  ,20th Sep 20
48,Just Dance 2021,XS,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Nov 20  ,27th Aug 20
49,Knockout City,XS,Unknown  ,Velan Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,18th Feb 21
50,Last Stop,XS,Annapurna Interactive  ,Variable State  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,22nd Sep 20
51,Madden NFL 21,XS,Electronic Arts  ,EA Tiburon  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 20  ,07th May 20
52,Maneater,XS,Deep Silver  ,Tripwire Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 20  ,26th Sep 20
53,Marvel's Avengers,XS,Square Enix  ,Crystal Dynamics  ,4.5  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 20  ,24th Jun 20
54,Metal: Hellsinger,XS,Funcom   ,The Outsiders  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,18th Jun 20
55,MicroMan,XS,Glob Games Studio  ,Glob Games Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,14th Jun 20
56,Monster Energy Supercross - The Official Videogame 4,XS,Unknown  ,Milestone S.r.l.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,28th Jan 21
57,My Aunt is a Witch,XS,Unknown  ,Sometimes You  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,01st Dec 20
58,NBA 2K21,XS,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 20  ,14th Jun 20
59,Nth^0: Infinity Reborn,XS,KITATUS  ,KITATUS STUDIOS  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 21  ,24th Aug 20
60,Observer: System Redux,XS,Bloober Team  ,Bloober Team  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 20  ,10th Jun 20
61,Ori and the Will of the Wisps,XS,Xbox Game Studios  ,Moon Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,04th Aug 20
62,Orphan of the Machine,XS,Dynamic Voltage Games  ,Dynamic Voltage Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,17th Jun 20
63,Outriders,XS,Square Enix  ,People Can Fly  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd Feb 21  ,13th Feb 20
64,Overcooked! All You Can Eat,XS,Team17  ,Ghost Town Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,21st Jul 20
65,Paradise Lost,XS,All in! Games  ,PolyAmorous  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,15th Jun 20
66,Phantasy Star Online 2: New Genesis,XS,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,23rd Jul 20
67,Planet Coaster: Console Edition,XS,Frontier Developments  ,Frontier Developments  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,17th Jun 20
68,Pragmata,XS,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,12th Jun 20
69,Puyo Puyo Tetris 2,XS,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 20  ,27th Aug 20
70,R-Type Final 2,XS,Unknown  ,Granzella  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,19th Mar 21
71,Resident Evil 8: Village,XS,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21  ,12th Jun 20
